,rewards
1638,-2.1875
1639,-0.0
1640,-12.1875
1641,-0.0
1642,-2.8125
1643,-0.9375
1644,-0.0
1645,-2.8125
1646,-2.1875
1647,-7.8125
1648,-6.5625
1649,-0.625
1650,-3.125
1651,-0.0
1652,-3.75
1653,-3.125
1654,-3.4375
1655,-5.0
1656,-5.0
1657,-2.1875
1658,-2.8125
1659,-2.5
1660,-2.5
1661,-4.6875
1662,-2.8125
1663,-11.5625
1664,-1.875
1665,-0.0
1666,-2.8125
1667,-0.0
1668,-1.25
1669,-10.0
1670,-4.0625
1671,-12.1875
1672,-2.5
1673,-2.5
1674,-3.75
1675,-1.5625
1676,-2.8125
1677,-5.0
1678,-4.375
1679,-4.0625
1680,-0.9375
1681,-2.8125
1682,-3.75
1683,-2.8125
1684,-2.8125
1685,-3.4375
1686,-1.875
1687,-2.1875
1688,-0.0
1689,-4.6875
1690,-4.6875
1691,-0.3125
1692,-1.875
1693,-1.875
1694,-2.1875
1695,-1.5625
1696,-5.3125
1697,-5.9375
1698,-1.25
1699,-4.6875
1700,-3.125
1701,-0.0
1702,-2.8125
1703,-3.4375
1704,-5.3125
1705,-2.8125
1706,-0.0
1707,-0.0
1708,-4.6875
1709,-7.5
1710,-0.0
1711,-5.0
1712,-4.0625
1713,-2.1875
1714,-7.8125
1715,-3.75
1716,-0.0
1717,-1.25
1718,-0.0
1719,-2.5
1720,-9.0625
1721,-6.5625
1722,-12.5
1723,-6.25
1724,-3.4375
1725,-1.5625
1726,-0.0
1727,-3.125
1728,-3.125
1729,-9.0625
1730,-12.1875
1731,-8.4375
1732,-1.5625
1733,-1.5625
1734,-1.875
1735,-3.125
1736,-2.5
1737,-4.375
1738,-3.125
1739,-10.625
1740,-6.5625
1741,-3.75
1742,-4.0625
1743,-2.1875
1744,-1.875
1745,-4.375
1746,-3.125
1747,-1.5625
1748,-6.25
1749,-6.25
1750,-4.6875
1751,-5.3125
1752,-2.1875
1753,-0.9375
1754,-0.9375
1755,-3.75
1756,-3.4375
1757,-4.375
1758,-0.625
1759,-0.9375
1760,-2.5
1761,-4.0625
1762,-4.375
1763,-7.8125
1764,-0.3125
1765,-2.5
1766,-4.6875
1767,-1.5625
1768,-9.0625
1769,-4.375
1770,-3.75
1771,-9.375
1772,-3.125
1773,-4.0625
1774,-0.0
